State,Year,Month,Provisional Number of Live Births
MARYLAND,2016,March,5971
MARYLAND,2016,April,5898
MARYLAND,2016,May,6205
MARYLAND,2016,June,6174
MARYLAND,2016,July,6531
MARYLAND,2016,August,6533
MARYLAND,2016,September,6229
MASSACHUSETTS,2016,January,5458
MASSACHUSETTS,2016,February,5447
MASSACHUSETTS,2016,March,5968
MASSACHUSETTS,2016,April,5803
MASSACHUSETTS,2016,May,6155
MASSACHUSETTS,2016,June,6158
MASSACHUSETTS,2016,July,6474
MASSACHUSETTS,2016,August,6458
MASSACHUSETTS,2016,September,6180
MICHIGAN,2016,January,8863
MICHIGAN,2016,February,8638
MICHIGAN,2016,March,9553
MICHIGAN,2016,April,9255
MICHIGAN,2016,May,9737
MICHIGAN,2016,June,9746
MICHIGAN,2016,July,10028
MICHIGAN,2016,August,10017
MICHIGAN,2016,September,9651
MINNESOTA,2016,January,5444
MINNESOTA,2016,February,5525
MINNESOTA,2016,March,5745
MINNESOTA,2016,April,5647
MINNESOTA,2016,May,6106
MINNESOTA,2016,June,6077
MINNESOTA,2016,July,6103
MINNESOTA,2016,August,6337
MINNESOTA,2016,September,5857
MISSISSIPPI,2016,January,3099
MISSISSIPPI,2016,February,2952
MISSISSIPPI,2016,March,3209
MISSISSIPPI,2016,April,2778
MISSISSIPPI,2016,May,3020
MISSISSIPPI,2016,June,3147
MISSISSIPPI,2016,July,3306
MISSISSIPPI,2016,August,3516
MISSISSIPPI,2016,September,3297
MISSOURI,2016,January,5945
MISSOURI,2016,February,5867
MISSOURI,2016,March,6325
MISSOURI,2016,April,5728
MISSOURI,2016,May,6034
MISSOURI,2016,June,6398
MISSOURI,2016,July,6662
MISSOURI,2016,August,6805
MISSOURI,2016,September,6474
MONTANA,2016,January,918
MONTANA,2016,February,965
MONTANA,2016,March,1037
MONTANA,2016,April,1001
MONTANA,2016,May,1102
MONTANA,2016,June,1099
MONTANA,2016,July,1101
MONTANA,2016,August,1124
MONTANA,2016,September,1079
NEBRASKA,2016,January,2061
NEBRASKA,2016,February,2021
NEBRASKA,2016,March,2279
NEBRASKA,2016,April,2238
NEBRASKA,2016,May,2280
NEBRASKA,2016,June,2185
NEBRASKA,2016,July,2308
NEBRASKA,2016,August,2396
NEBRASKA,2016,September,2357
NEVADA,2016,January,2891
NEVADA,2016,February,2811
NEVADA,2016,March,2897
NEVADA,2016,April,2868
NEVADA,2016,May,2971
NEVADA,2016,June,3084
NEVADA,2016,July,3153
NEVADA,2016,August,3300
NEVADA,2016,September,3234
NEW HAMPSHIRE,2016,January,965
NEW HAMPSHIRE,2016,February,940
NEW HAMPSHIRE,2016,March,1020
NEW HAMPSHIRE,2016,April,1044
NEW HAMPSHIRE,2016,May,1013
NEW HAMPSHIRE,2016,June,1063
NEW HAMPSHIRE,2016,July,1104
NEW HAMPSHIRE,2016,August,1117
NEW HAMPSHIRE,2016,September,1146
NEW JERSEY,2016,January,8166
NEW JERSEY,2016,February,7788
NEW JERSEY,2016,March,8479
NEW JERSEY,2016,April,8114
NEW JERSEY,2016,May,8657
NEW JERSEY,2016,June,8740
NEW JERSEY,2016,July,9084
NEW JERSEY,2016,August,8928
NEW JERSEY,2016,September,8682
NEW MEXICO,2016,January,2026
NEW MEXICO,2016,February,1971
NEW MEXICO,2016,March,2011
NEW MEXICO,2016,April,1950
NEW MEXICO,2016,May,1998
NEW MEXICO,2016,June,2059
NEW MEXICO,2016,July,2126
NEW MEXICO,2016,August,2202
NEW MEXICO,2016,September,2095
NEW YORK,2016,January,19072
NEW YORK,2016,February,18134
NEW YORK,2016,March,19073
NEW YORK,2016,April,19028
NEW YORK,2016,May,19825
NEW YORK,2016,June,19570
NEW YORK,2016,July,20548
NEW YORK,2016,August,21087
NEW YORK,2016,September,20095
NORTH CAROLINA,2016,January,9801
NORTH CAROLINA,2016,February,9384
NORTH CAROLINA,2016,March,9809
NORTH CAROLINA,2016,April,9358
NORTH CAROLINA,2016,May,10040
NORTH CAROLINA,2016,June,10196
NORTH CAROLINA,2016,July,10583
NORTH CAROLINA,2016,August,11056
NORTH CAROLINA,2016,September,10660
NORTH DAKOTA,2016,January,952
NORTH DAKOTA,2016,February,868
NORTH DAKOTA,2016,March,935
NORTH DAKOTA,2016,April,920
NORTH DAKOTA,2016,May,989
NORTH DAKOTA,2016,June,986
NORTH DAKOTA,2016,July,958
NORTH DAKOTA,2016,August,1077
NORTH DAKOTA,2016,September,1038
OHIO,2016,January,10895
OHIO,2016,February,10772
OHIO,2016,March,11361
OHIO,2016,April,11085
OHIO,2016,May,11639
OHIO,2016,June,11847
OHIO,2016,July,11991
OHIO,2016,August,12626
OHIO,2016,September,11934
OKLAHOMA,2016,January,4263
OKLAHOMA,2016,February,4289
OKLAHOMA,2016,March,4368
OKLAHOMA,2016,April,4117
OKLAHOMA,2016,May,4242
OKLAHOMA,2016,June,4423
OKLAHOMA,2016,July,4467
OKLAHOMA,2016,August,4773
OKLAHOMA,2016,September,4639
OREGON,2016,January,3667
OREGON,2016,February,3591
OREGON,2016,March,3914
OREGON,2016,April,3706
OREGON,2016,May,3862
OREGON,2016,June,3810
OREGON,2016,July,4067
OREGON,2016,August,4008
OREGON,2016,September,3883
PENNSYLVANIA,2016,January,11034
PENNSYLVANIA,2016,February,10700
PENNSYLVANIA,2016,March,11622
PENNSYLVANIA,2016,April,11368
PENNSYLVANIA,2016,May,11942
PENNSYLVANIA,2016,June,11828
PENNSYLVANIA,2016,July,12292
PENNSYLVANIA,2016,August,12599
PENNSYLVANIA,2016,September,11976
RHODE ISLAND,2016,January,870
RHODE ISLAND,2016,February,819
RHODE ISLAND,2016,March,934
RHODE ISLAND,2016,April,853
RHODE ISLAND,2016,May,937
RHODE ISLAND,2016,June,933
RHODE ISLAND,2016,July,1003
RHODE ISLAND,2016,August,1001
RHODE ISLAND,2016,September,905
SOUTH CAROLINA,2016,January,4698
SOUTH CAROLINA,2016,February,4486
SOUTH CAROLINA,2016,March,4759
SOUTH CAROLINA,2016,April,4331
SOUTH CAROLINA,2016,May,4605
SOUTH CAROLINA,2016,June,4823
SOUTH CAROLINA,2016,July,4849
SOUTH CAROLINA,2016,August,5161
SOUTH CAROLINA,2016,September,4903
SOUTH DAKOTA,2016,January,957
SOUTH DAKOTA,2016,February,924
SOUTH DAKOTA,2016,March,1037
SOUTH DAKOTA,2016,April,998
SOUTH DAKOTA,2016,May,1032
SOUTH DAKOTA,2016,June,1023
SOUTH DAKOTA,2016,July,1075
SOUTH DAKOTA,2016,August,1079
SOUTH DAKOTA,2016,September,1084
TENNESSEE,2016,January,6513
TENNESSEE,2016,February,6319
TENNESSEE,2016,March,6669
TENNESSEE,2016,April,6440
TENNESSEE,2016,May,6629
TENNESSEE,2016,June,6846
TENNESSEE,2016,July,6972
TENNESSEE,2016,August,7243
TENNESSEE,2016,September,6964
TEXAS,2016,January,32135
TEXAS,2016,February,30518
TEXAS,2016,March,32900
TEXAS,2016,April,30714
TEXAS,2016,May,32151
TEXAS,2016,June,33097
TEXAS,2016,July,34093
TEXAS,2016,August,35869
TEXAS,2016,September,34852
UTAH,2016,January,3835
UTAH,2016,February,3830
UTAH,2016,March,4423
UTAH,2016,April,4323
UTAH,2016,May,4433
UTAH,2016,June,4448
UTAH,2016,July,4424
UTAH,2016,August,4707
UTAH,2016,September,4335
VERMONT,2016,January,420
VERMONT,2016,February,484
VERMONT,2016,March,482
VERMONT,2016,April,471
VERMONT,2016,May,492
VERMONT,2016,June,523
VERMONT,2016,July,531
VERMONT,2016,August,563
VERMONT,2016,September,484
VIRGINIA,2016,January,8263
VIRGINIA,2016,February,8018
VIRGINIA,2016,March,8723
VIRGINIA,2016,April,8296
VIRGINIA,2016,May,8740
VIRGINIA,2016,June,8676
